School Year,Division Number,Division Name,School Number,School Name,Gr 5,Gr 6,Gr 7,Gr 8,Gr 9,Gr 10,Gr 11,Gr 12,Grade Count,FT Count,PT Count,Total Count
2016-2017,2,Albemarle County,160,Agnor-Hurt Elementary,              73,,,,,,,,              73,             525,,             525
2016-2017,2,Albemarle County,1060,Albemarle County Community Public Charter,,              17,              15,              18,,,,,              50,              50,,              50
2016-2017,2,Albemarle County,880,Albemarle High,,,,,             506,             482,             499,             499,"           1,986","           1,986",               3,"           1,989"
2016-2017,2,Albemarle County,1053,Baker-Butler Elem,              90,,,,,,,,              90,             595,,             595
2016-2017,2,Albemarle County,900,Benjamin F. Yancey Elementary,              26,,,,,,,,              26,             120,,             120
2016-2017,2,Albemarle County,100,Broadus Wood Elementary,              40,,,,,,,,              40,             287,,             287
2016-2017,2,Albemarle County,941,Brownsville Elementary,             109,,,,,,,,             109,             752,,             752
2016-2017,2,Albemarle County,340,Crozet Elementary,              48,,,,,,,,              48,             357,,             357
2016-2017,2,Albemarle County,10,Hollymead Elementary,              86,,,,,,,,              86,             482,,             482
2016-2017,2,Albemarle County,950,Jack Jouett Middle,,             178,             191,             201,,,,,             570,             570,,             570
2016-2017,2,Albemarle County,69,Jackson P. Burley Middle,,             208,             189,             194,,,,,             591,             591,,             591
2016-2017,2,Albemarle County,942,Joseph T. Henley Middle,,             302,             278,             278,,,,,             858,             858,               1,             859
2016-2017,2,Albemarle County,20,Leslie H. Walton Middle,,             130,             112,              96,,,,,             338,             338,,             338
2016-2017,2,Albemarle County,40,Mary Carr Greer Elementary,              76,,,,,,,,              76,             669,,             669
2016-2017,2,Albemarle County,250,Meriwether Lewis Elementary,              74,,,,,,,,              74,             449,,             449
2016-2017,2,Albemarle County,1052,Monticello High,,,,,             294,             318,             257,             272,"           1,141","           1,141",               6,"           1,147"
2016-2017,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,,             183,             208,             183,,,,,             574,             574,,             574
2016-2017,2,Albemarle County,890,Murray High,,,,,              25,              37,              21,              22,             105,             105,               6,             111
2016-2017,2,Albemarle County,150,Paul H. Cale Elementary,              75,,,,,,,,              75,             666,,             666
2016-2017,2,Albemarle County,540,Red Hill Elementary,              24,,,,,,,,              24,             147,,             147
2016-2017,2,Albemarle County,30,Scottsville Elementary,              27,,,,,,,,              27,             201,,             201
2016-2017,2,Albemarle County,920,Stone Robinson Elementary,              59,,,,,,,,              59,             428,,             428
2016-2017,2,Albemarle County,240,Stony Point Elementary,              30,,,,,,,,              30,             236,,             236
2016-2017,2,Albemarle County,910,Virginia L. Murray Elementary,              33,,,,,,,,              33,             246,,             246
2016-2017,2,Albemarle County,140,Western Albemarle High,,,,,             287,             273,             275,             242,"           1,077","           1,077",              12,"           1,089"
2016-2017,2,Albemarle County,930,Woodbrook Elementary,              47,,,,,,,,              47,             340,,             340
2016-2017,104,Charlottesville City,100,Buford Middle,,,             253,             252,,,,,             505,             505,               2,             507
2016-2017,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             407,,             407
2016-2017,104,Charlottesville City,140,Charlottesville High,,,,,             352,             293,             253,             298,"           1,196","           1,196",               3,"           1,199"
2016-2017,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             355,,             355
2016-2017,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             383,,             383
2016-2017,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             352,,             352
2016-2017,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             358,,             358
2016-2017,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             347,,             347
2016-2017,104,Charlottesville City,110,Walker Upper Elementary,             293,             275,,,,,,,             568,             568,               2,             570
2017-2018,2,Albemarle County,160,Agnor-Hurt Elementary,              89,,,,,,,,              89,             518,,             518
2017-2018,2,Albemarle County,1060,Albemarle County Community Public Charter,,               8,              16,              14,,,,,              38,              38,,              38
2017-2018,2,Albemarle County,880,Albemarle High,,,,,             489,             504,             475,             524,"           1,992","           1,992",               5,"           1,997"
2017-2018,2,Albemarle County,1053,Baker-Butler Elem,             104,,,,,,,,             104,             643,,             643
2017-2018,2,Albemarle County,100,Broadus Wood Elementary,              55,,,,,,,,              55,             286,,             286
2017-2018,2,Albemarle County,941,Brownsville Elementary,             134,,,,,,,,             134,             767,,             767
2017-2018,2,Albemarle County,340,Crozet Elementary,              56,,,,,,,,              56,             353,,             353
2017-2018,2,Albemarle County,10,Hollymead Elementary,              91,,,,,,,,              91,             468,,             468
2017-2018,2,Albemarle County,950,Jack Jouett Middle,,             196,             176,             187,,,,,             559,             559,,             559
2017-2018,2,Albemarle County,69,Jackson P. Burley Middle,,             168,             207,             190,,,,,             565,             565,,             565
2017-2018,2,Albemarle County,942,Joseph T. Henley Middle,,             260,             308,             295,,,,,             863,             863,               1,             864
2017-2018,2,Albemarle County,20,Leslie H. Walton Middle,,             115,             124,             112,,,,,             351,             351,,             351
2017-2018,2,Albemarle County,40,Mary Carr Greer Elementary,              79,,,,,,,,              79,             675,,             675
2017-2018,2,Albemarle County,250,Meriwether Lewis Elementary,              83,,,,,,,,              83,             432,,             432
2017-2018,2,Albemarle County,1052,Monticello High,,,,,             292,             294,             289,             255,"           1,130","           1,130",               3,"           1,133"
2017-2018,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,,             201,             188,             212,,,,,             601,             601,               1,             602
2017-2018,2,Albemarle County,890,Murray High,,,,,              23,              23,              30,              24,             100,             100,,             100
2017-2018,2,Albemarle County,150,Paul H. Cale Elementary,             100,,,,,,,,             100,             663,,             663
