School Year,Division Number,Division Name,School Number,School Name,Gr 5,Gr 6,Gr 7,Gr 8,Gr 9,Gr 10,Gr 11,Gr 12,Grade Count,FT Count,PT Count,Total Count
2017-2018,2,Albemarle County,540,Red Hill Elementary,              30,,,,,,,,              30,             203,,             203
2017-2018,2,Albemarle County,30,Scottsville Elementary,              42,,,,,,,,              42,             264,,             264
2017-2018,2,Albemarle County,920,Stone Robinson Elementary,              78,,,,,,,,              78,             451,,             451
2017-2018,2,Albemarle County,240,Stony Point Elementary,              45,,,,,,,,              45,             252,,             252
2017-2018,2,Albemarle County,910,Virginia L. Murray Elementary,              39,,,,,,,,              39,             266,,             266
2017-2018,2,Albemarle County,140,Western Albemarle High,,,,,             304,             281,             270,             284,"           1,139","           1,139",,"           1,139"
2017-2018,2,Albemarle County,930,Woodbrook Elementary,              51,,,,,,,,              51,             348,,             348
2017-2018,104,Charlottesville City,100,Buford Middle,,,             265,             260,,,,,             525,             525,,             525
2017-2018,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             393,,             393
2017-2018,104,Charlottesville City,140,Charlottesville High,,,,,             342,             304,             261,             265,"           1,172","           1,172",               1,"           1,173"
2017-2018,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             338,,             338
2017-2018,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             399,,             399
2017-2018,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             378,,             378
2017-2018,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             366,,             366
2017-2018,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             346,,             346
2017-2018,104,Charlottesville City,110,Walker Upper Elementary,             327,             283,,,,,,,             610,             610,               1,             611
2018-2019,2,Albemarle County,160,Agnor-Hurt Elementary,              82,,,,,,,,              82,             482,,             482
2018-2019,2,Albemarle County,1060,Albemarle County Community Public Charter,,              15,              13,              18,,,,,              46,              46,,              46
2018-2019,2,Albemarle County,880,Albemarle High,,,,,             462,             499,             469,             484,"           1,914","           1,914",              13,"           1,927"
2018-2019,2,Albemarle County,1053,Baker-Butler Elem,             100,,,,,,,,             100,             640,,             640
2018-2019,2,Albemarle County,100,Broadus Wood Elementary,              50,,,,,,,,              50,             280,,             280
2018-2019,2,Albemarle County,941,Brownsville Elementary,             130,,,,,,,,             130,             817,,             817
2018-2019,2,Albemarle County,340,Crozet Elementary,              72,,,,,,,,              72,             363,,             363
2018-2019,2,Albemarle County,10,Hollymead Elementary,              88,,,,,,,,              88,             440,,             440
2018-2019,2,Albemarle County,950,Jack Jouett Middle,,             218,             203,             188,,,,,             609,             609,,             609
2018-2019,2,Albemarle County,69,Jackson P. Burley Middle,,             214,             166,             204,,,,,             584,             584,,             584
2018-2019,2,Albemarle County,942,Joseph T. Henley Middle,,             328,             265,             306,,,,,             899,             899,               1,             900
2018-2019,2,Albemarle County,20,Leslie H. Walton Middle,,             112,             118,             128,,,,,             358,             358,,             358
2018-2019,2,Albemarle County,40,Mary Carr Greer Elementary,              86,,,,,,,,              86,             577,,             577
2018-2019,2,Albemarle County,250,Meriwether Lewis Elementary,              65,,,,,,,,              65,             405,,             405
2018-2019,2,Albemarle County,1052,Monticello High,,,,,             288,             273,             294,             283,"           1,138","           1,138",               4,"           1,142"
2018-2019,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,,             201,             203,             186,,,,,             590,             590,               1,             591
2018-2019,2,Albemarle County,890,Murray High,,,,,              21,              14,              19,              35,              89,              89,,              89
2018-2019,2,Albemarle County,150,Paul H. Cale Elementary,              99,,,,,,,,              99,             683,,             683
2018-2019,2,Albemarle County,540,Red Hill Elementary,              23,,,,,,,,              23,             196,,             196
2018-2019,2,Albemarle County,30,Scottsville Elementary,              44,,,,,,,,              44,             250,,             250
2018-2019,2,Albemarle County,920,Stone Robinson Elementary,              57,,,,,,,,              57,             433,,             433
2018-2019,2,Albemarle County,240,Stony Point Elementary,              44,,,,,,,,              44,             239,,             239
2018-2019,2,Albemarle County,910,Virginia L. Murray Elementary,              51,,,,,,,,              51,             270,,             270
2018-2019,2,Albemarle County,140,Western Albemarle High,,,,,             300,             300,             288,             270,"           1,158","           1,158",,"           1,158"
2018-2019,2,Albemarle County,930,Woodbrook Elementary,              70,,,,,,,,              70,             534,,             534
2018-2019,104,Charlottesville City,100,Buford Middle,,,             270,             266,,,,,             536,             536,,             536
2018-2019,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             390,,             390
2018-2019,104,Charlottesville City,140,Charlottesville High,,,,,             348,             304,             282,             262,"           1,196","           1,196",               2,"           1,198"
2018-2019,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             317,,             317
2018-2019,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             403,,             403
2018-2019,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             364,,             364
2018-2019,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             362,,             362
2018-2019,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             335,,             335
2018-2019,104,Charlottesville City,110,Walker Upper Elementary,             365,             291,,,,,,,             656,             656,,             656
2019-2020,2,Albemarle County,160,Agnor-Hurt Elementary,              68,,,,,,,,              68,             475,,             475
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,,              27,              17,              12,,,,,              56,              56,,              56
2019-2020,2,Albemarle County,880,Albemarle High,,,,,             466,             496,             488,             500,"           1,950","           1,950",              12,"           1,962"
2019-2020,2,Albemarle County,1053,Baker-Butler Elem,             119,,,,,,,,             119,             684,,             684
2019-2020,2,Albemarle County,100,Broadus Wood Elementary,              49,,,,,,,,              49,             287,,             287
2019-2020,2,Albemarle County,941,Brownsville Elementary,             148,,,,,,,,             148,             861,,             861
2019-2020,2,Albemarle County,340,Crozet Elementary,              58,,,,,,,,              58,             342,,             342
2019-2020,2,Albemarle County,10,Hollymead Elementary,              83,,,,,,,,              83,             429,,             429
2019-2020,2,Albemarle County,950,Jack Jouett Middle,,             232,             222,             200,,,,,             654,             654,               1,             655
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,,             199,             227,             160,,,,,             586,             586,               2,             588
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,,             314,             327,             276,,,,,             917,             917,               2,             919
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,,             106,             109,             128,,,,,             343,             343,               2,             345
2019-2020,2,Albemarle County,40,Mary Carr Greer Elementary,              90,,,,,,,,              90,             522,,             522
2019-2020,2,Albemarle County,250,Meriwether Lewis Elementary,              73,,,,,,,,              73,             404,,             404
2019-2020,2,Albemarle County,1052,Monticello High,,,,,             362,             291,             275,             279,"           1,207","           1,207",              10,"           1,217"
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,,             191,             200,             205,,,,,             596,             596,               2,             598
2019-2020,2,Albemarle County,890,Murray High,,,,,              31,              19,              14,              21,              85,              85,,              85
2019-2020,2,Albemarle County,150,Paul H. Cale Elementary,             126,,,,,,,,             126,             770,,             770
2019-2020,2,Albemarle County,540,Red Hill Elementary,              38,,,,,,,,              38,             214,,             214
2019-2020,2,Albemarle County,30,Scottsville Elementary,              38,,,,,,,,              38,             233,,             233
2019-2020,2,Albemarle County,920,Stone Robinson Elementary,              90,,,,,,,,              90,             508,,             508
2019-2020,2,Albemarle County,240,Stony Point Elementary,              40,,,,,,,,              40,             238,,             238
2019-2020,2,Albemarle County,910,Virginia L. Murray Elementary,              37,,,,,,,,              37,             256,,             256
2019-2020,2,Albemarle County,140,Western Albemarle High,,,,,             313,             298,             300,             296,"           1,207","           1,207",,"           1,207"
2019-2020,2,Albemarle County,930,Woodbrook Elementary,              94,,,,,,,,              94,             580,,             580
2019-2020,104,Charlottesville City,100,Buford Middle,,,             273,             256,,,,,             529,             529,               1,             530
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             377,,             377
2019-2020,104,Charlottesville City,140,Charlottesville High,,,,,             336,             323,             280,             286,"           1,225","           1,225",,"           1,225"
2019-2020,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             316,,             316
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             377,,             377
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             343,,             343
2019-2020,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             359,,             359
2019-2020,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             346,,             346
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,             312,             358,,,,,,,             670,             670,               1,             671
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,              73,,,,,,,,              73,             432,,             432
2020-2021,2,Albemarle County,880,Albemarle High,,,,,             450,             459,             473,             505,"           1,887","           1,887",               6,"           1,893"
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,             101,,,,,,,,             101,             637,,             637
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,              48,,,,,,,,              48,             252,,             252
2020-2021,2,Albemarle County,941,Brownsville Elementary,             124,,,,,,,,             124,             729,,             729
2020-2021,2,Albemarle County,340,Crozet Elementary,              57,,,,,,,,              57,             328,,             328
2020-2021,2,Albemarle County,10,Hollymead Elementary,              70,,,,,,,,              70,             349,,             349
2020-2021,2,Albemarle County,950,Jack Jouett Middle,,             238,             230,             213,,,,,             681,             681,,             681
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,,             204,             199,             204,,,,,             607,             607,               2,             609
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,,             272,             294,             311,,,,,             877,             877,               7,             884
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,,             125,             107,             113,,,,,             345,             345,               2,             347
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,              67,,,,,,,,              67,             469,,             469
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,              62,,,,,,,,              62,             323,,             323
2020-2021,2,Albemarle County,1052,Monticello High,,,,,             292,             344,             285,             265,"           1,186","           1,186",              11,"           1,197"
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,,             198,             186,             195,,,,,             579,             579,               5,             584
2020-2021,2,Albemarle County,150,Mountain View Elementary,             105,,,,,,,,             105,             694,,             694
2020-2021,2,Albemarle County,890,Murray School,,              32,              28,              18,              27,              27,              18,              12,             162,             162,,             162
2020-2021,2,Albemarle County,540,Red Hill Elementary,              26,,,,,,,,              26,             169,,             169
2020-2021,2,Albemarle County,30,Scottsville Elementary,              41,,,,,,,,              41,             222,,             222
2020-2021,2,Albemarle County,920,Stone Robinson Elementary,              67,,,,,,,,              67,             450,,             450
2020-2021,2,Albemarle County,240,Stony Point Elementary,              33,,,,,,,,              33,             173,,             173
2020-2021,2,Albemarle County,910,Virginia L. Murray Elementary,              40,,,,,,,,              40,             235,,             235
2020-2021,2,Albemarle County,140,Western Albemarle High,,,,,             267,             299,             285,             293,"           1,144","           1,144",,"           1,144"
2020-2021,2,Albemarle County,930,Woodbrook Elementary,              76,,,,,,,,              76,             569,,             569
2020-2021,104,Charlottesville City,100,Buford Middle,,,             325,             268,,,,,             593,             593,,             593
2020-2021,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             318,,             318
2020-2021,104,Charlottesville City,140,Charlottesville High,,,,,             319,             324,             293,             258,"           1,194","           1,194",               3,"           1,197"
2020-2021,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             287,,             287
2020-2021,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             318,,             318
2020-2021,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             331,,             331
2020-2021,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             310,,             310
2020-2021,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             275,               1,             276
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,             327,             301,,,,,,,             628,             628,,             628
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,              62,,,,,,,,              62,             456,,             456
2021-2022,2,Albemarle County,880,Albemarle High,,,,,             493,             469,             464,             485,"           1,911","           1,911",               6,"           1,917"
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,              98,,,,,,,,              98,             682,,             682
2021-2022,2,Albemarle County,100,Broadus Wood Elementary,              42,,,,,,,,              42,             259,,             259
2021-2022,2,Albemarle County,941,Brownsville Elementary,             125,,,,,,,,             125,             756,,             756
2021-2022,2,Albemarle County,890,Community Lab School,,              30,              36,              25,              34,              23,              30,              16,             194,             194,,             194
2021-2022,2,Albemarle County,340,Crozet Elementary,              46,,,,,,,,              46,             325,,             325
2021-2022,2,Albemarle County,10,Hollymead Elementary,              66,,,,,,,,              66,             342,,             342
2021-2022,2,Albemarle County,950,Jack Jouett Middle,,             205,             253,             236,,,,,             694,             694,,             694
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,,             183,             216,             199,,,,,             598,             598,               2,             600
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,,             272,             273,             294,,,,,             839,             839,               3,             842
2021-2022,2,Albemarle County,1051,Lakeside Middle,,             177,             180,             188,,,,,             545,             545,               3,             548
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,,             102,             117,             110,,,,,             329,             329,               2,             331
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,              77,,,,,,,,              77,             481,,             481
2021-2022,2,Albemarle County,250,Meriwether Lewis Elementary,              57,,,,,,,,              57,             321,,             321
2021-2022,2,Albemarle County,1052,Monticello High,,,,,             302,             291,             332,             288,"           1,213","           1,213",               7,"           1,220"
2021-2022,2,Albemarle County,150,Mountain View Elementary,             101,,,,,,,,             101,             731,,             731
2021-2022,2,Albemarle County,540,Red Hill Elementary,              31,,,,,,,,              31,             189,,             189
2021-2022,2,Albemarle County,30,Scottsville Elementary,              39,,,,,,,,              39,             216,,             216
2021-2022,2,Albemarle County,920,Stone Robinson Elementary,              86,,,,,,,,              86,             470,,             470
2021-2022,2,Albemarle County,240,Stony Point Elementary,              29,,,,,,,,              29,             188,,             188
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,              40,,,,,,,,              40,             268,,             268
2021-2022,2,Albemarle County,140,Western Albemarle High,,,,,             305,             266,             287,             294,"           1,152","           1,152",               5,"           1,157"
2021-2022,2,Albemarle County,930,Woodbrook Elementary,              79,,,,,,,,              79,             562,,             562
2021-2022,104,Charlottesville City,100,Buford Middle,,,             277,             322,,,,,             599,             599,,             599
2021-2022,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             322,,             322
2021-2022,104,Charlottesville City,140,Charlottesville High,,,,,             369,             301,             289,             272,"           1,231","           1,231",               2,"           1,233"
2021-2022,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             324,,             324
2021-2022,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             282,,             282
2021-2022,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             325,,             325
2021-2022,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             299,,             299
2021-2022,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             283,,             283
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,             301,             322,,,,,,,             623,             623,,             623
2022-2023,2,Albemarle County,160,Agnor-Hurt Elementary,              67,,,,,,,,              67,             438,,             438
2022-2023,2,Albemarle County,880,Albemarle High,,,,,             501,             524,             486,             482,"           1,993","           1,993",               5,"           1,998"
2022-2023,2,Albemarle County,1053,Baker-Butler Elem,             122,,,,,,,,             122,             740,,             740
2022-2023,2,Albemarle County,100,Broadus Wood Elementary,              51,,,,,,,,              51,             288,,             288
2022-2023,2,Albemarle County,941,Brownsville Elementary,             110,,,,,,,,             110,             591,,             591
2022-2023,2,Albemarle County,890,Community Lab School,,              29,              29,              34,              28,              25,              20,              27,             192,             192,,             192
2022-2023,2,Albemarle County,340,Crozet Elementary,              60,,,,,,,,              60,             514,,             514
2022-2023,2,Albemarle County,10,Hollymead Elementary,              62,,,,,,,,              62,             352,,             352
2022-2023,2,Albemarle County,69,Jackson P. Burley Middle,,             184,             186,             218,,,,,             588,             588,,             588
2022-2023,2,Albemarle County,942,Joseph T. Henley Middle,,             261,             274,             273,,,,,             808,             808,               4,             812
2022-2023,2,Albemarle County,950,Journey Middle,,             200,             198,             236,,,,,             634,             634,,             634
2022-2023,2,Albemarle County,1051,Lakeside Middle,,             168,             172,             173,,,,,             513,             513,               1,             514
2022-2023,2,Albemarle County,20,Leslie H. Walton Middle,,             115,             108,             117,,,,,             340,             340,,             340
2022-2023,2,Albemarle County,40,Mary Carr Greer Elementary,              72,,,,,,,,              72,             495,,             495
2022-2023,2,Albemarle County,250,Meriwether Lewis Elementary,              52,,,,,,,,              52,             343,,             343
2022-2023,2,Albemarle County,1052,Monticello High,,,,,             283,             319,             283,             346,"           1,231","           1,231",               4,"           1,235"
2022-2023,2,Albemarle County,150,Mountain View Elementary,             108,,,,,,,,             108,             752,,             752
2022-2023,2,Albemarle County,540,Red Hill Elementary,              32,,,,,,,,              32,             201,,             201
2022-2023,2,Albemarle County,30,Scottsville Elementary,              34,,,,,,,,              34,             227,,             227
2022-2023,2,Albemarle County,920,Stone Robinson Elementary,              61,,,,,,,,              61,             473,,             473
2022-2023,2,Albemarle County,240,Stony Point Elementary,              29,,,,,,,,              29,             189,,             189
2022-2023,2,Albemarle County,910,Virginia L. Murray Elementary,              45,,,,,,,,              45,             282,,             282
2022-2023,2,Albemarle County,140,Western Albemarle High,,,,,             310,             303,             262,             284,"           1,159","           1,159",               4,"           1,163"
2022-2023,2,Albemarle County,930,Woodbrook Elementary,              89,,,,,,,,              89,             609,,             609
2022-2023,104,Charlottesville City,100,Buford Middle,,,             301,             280,,,,,             581,             581,               2,             583
2022-2023,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             289,,             289
2022-2023,104,Charlottesville City,140,Charlottesville High,,,,,             436,             345,             290,             288,"           1,359","           1,359",               3,"           1,362"
2022-2023,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             353,,             353
2022-2023,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             315,,             315
2022-2023,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             344,,             344
2022-2023,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             322,,             322
2022-2023,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             306,,             306
2022-2023,104,Charlottesville City,110,Walker Upper Elementary,             317,             299,,,,,,,             616,             616,               1,             617
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,              58,,,,,,,,              58,             474,,             474
2023-2024,2,Albemarle County,880,Albemarle High,,,,,             510,             510,             513,             480,"           2,013","           2,013",               6,"           2,019"
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,             114,,,,,,,,             114,             735,,             735
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,              54,,,,,,,,              54,             284,,             284
2023-2024,2,Albemarle County,941,Brownsville Elementary,             115,,,,,,,,             115,             572,,             572
2023-2024,2,Albemarle County,890,Community Lab School,,              33,              27,              28,              27,              25,              21,              18,             179,             179,,             179
2023-2024,2,Albemarle County,340,Crozet Elementary,             105,,,,,,,,             105,             545,,             545
2023-2024,2,Albemarle County,10,Hollymead Elementary,              60,,,,,,,,              60,             347,,             347
2023-2024,2,Albemarle County,250,Ivy Elementary,              54,,,,,,,,              54,             352,,             352
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,,             178,             192,             182,,,,,             552,             552,,             552
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,,             253,             266,             285,,,,,             804,             804,,             804
2023-2024,2,Albemarle County,950,Journey Middle,,             200,             202,             206,,,,,             608,             608,,             608
2023-2024,2,Albemarle County,1051,Lakeside Middle,,             186,             169,             165,,,,,             520,             520,,             520
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,,             106,             118,             105,,,,,             329,             329,               1,             330
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,              67,,,,,,,,              67,             496,,             496
2023-2024,2,Albemarle County,1052,Monticello High,,,,,             313,             295,             299,             299,"           1,206","           1,206",               5,"           1,211"
2023-2024,2,Albemarle County,150,Mountain View Elementary,             104,,,,,,,,             104,             756,,             756
2023-2024,2,Albemarle County,540,Red Hill Elementary,              25,,,,,,,,              25,             196,,             196
2023-2024,2,Albemarle County,30,Scottsville Elementary,              36,,,,,,,,              36,             211,,             211
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,              73,,,,,,,,              73,             488,,             488
2023-2024,2,Albemarle County,240,Stony Point Elementary,              31,,,,,,,,              31,             188,,             188
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,              42,,,,,,,,              42,             277,,             277
2023-2024,2,Albemarle County,140,Western Albemarle High,,,,,             297,             303,             298,             266,"           1,164","           1,164",               2,"           1,166"
2023-2024,2,Albemarle County,930,Woodbrook Elementary,              87,,,,,,,,              87,             525,,             525
2023-2024,104,Charlottesville City,100,Buford Middle,,,             274,             285,,,,,             559,             559,               2,             561
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,,,,,,,,,,             285,,             285
2023-2024,104,Charlottesville City,140,Charlottesville High,,,,,             394,             411,             319,             281,"           1,405","           1,405",               6,"           1,411"
2023-2024,104,Charlottesville City,50,Clark Elementary,,,,,,,,,,             308,,             308
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,,,,,,,,,,             270,,             270
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,,,,,,,,,,             351,,             351
2023-2024,104,Charlottesville City,10,Johnson Elementary,,,,,,,,,,             329,,             329
2023-2024,104,Charlottesville City,40,Venable Elementary,,,,,,,,,,             322,,             322
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,             303,             301,,,,,,,             604,             604,               3,             607
