pop_est,white,black,aian,asian,nhpi,other,multi,hispanic,white_male,black_male,region,pct_black,pct_white,pct_hispanic,pct_white_male,pct_black_male
113683,87040,10044,123,6319,34,2711,7412,8348,41732,4865,Albemarle,8.83509407739064,76.56377822541629,7.343226339910101,36.70909458758126,4.279443716298831
45863,31202,7798,56,3224,0,689,2894,3103,15249,3734,Charlottesville,17.002812724854458,68.03305496805704,6.765802498746266,33.2490242679284,8.141639229880296
