health_district,race_ethnicity,firearm_deaths,rate_of_firearm_deaths_per_100k_pop,years
Blue Ridge,Hispanic or Latino (Any Race),3,4.5,2018-2022
Blue Ridge,Asian or Pacific Islander,1,1.8,2018-2022
Blue Ridge,White,117,11.8,2018-2022
Blue Ridge,Black or African American,20,11.9,2018-2022
Blue Ridge,American Indian or Alaskan Native,0,0,2018-2022
