pop_est,white,black,aian,asian,nhpi,other,multi,hispanic,region,pct_black,pct_white,pct_hispanic
112513,88455,9966,125,6319,34,1789,5825,6633,Albemarle,8.857643116795392,78.61758196830588,5.895318763165145
46289,31716,7945,70,3237,0,577,2744,2705,Charlottesville,17.163905031432954,68.5173583356737,5.843720970424939
