incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,characteristics,notes,participant_gender,participant_age_group,role,status,age
1996956,2021-05-06,Virginia,Charlottesville,Hardy Dr,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1995988,2021-05-04,Virginia,Charlottesville,700 block of Prospect Ave,0,1,0,0,0,Shot - Wounded/Injured,"[720-772 Prospect Ave] one shot, multiple vehicles and apartment also hit",NA,NA,victim,injured,NA
1994042,2021-05-01,Virginia,Charlottesville,100 block of Longwood Dr,0,0,0,0,0,Shots Fired - No Injuries,"shots fired struck two townhomes, handgun and rifle casings on the scene",NA,NA,suspect,unharmed,NA
1994035,2021-04-30,Virginia,Charlottesville,Hardy Dr,0,1,0,0,0,Shot - Wounded/Injured,"one shot in group filming video on playground, multiple apts and four vehicles struck, handgun and rifle casings; occupied apt at Standard on W Main St also hit",N/A,NA,victim,injured,NA
1977471,2021-04-13,Virginia,Charlottesville,700 block of Prospect Ave,0,1,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,32,suspect,unharmed,32
1977471,2021-04-13,Virginia,Charlottesville,700 block of Prospect Ave,0,1,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,Adult 18+,victim,injured,NA
1977479,2021-04-07,Virginia,Charlottesville,700 block of Prospect Ave,0,0,0,0,0,Shots Fired - No Injuries,two separate shots fired incidents,NA,NA,suspect,unharmed,NA
1969255,2021-04-04,Virginia,Charlottesville,100 block of Hammond St,0,1,0,0,0,Shot - Wounded/Injured,one shot,NA,NA,victim,injured,NA
1964266,2021-03-27,Virginia,Charlottesville,900 block of S 1st St,0,0,0,0,0,Shots Fired - No Injuries,"also near Barracks Road Shopping Center at 12:25 AM, shots fired",NA,NA,suspect,unharmed,NA
1964262,2021-03-26,Virginia,Charlottesville,418 Garrett St,0,0,0,0,0,Shots Fired - No Injuries,shots fired struck two occupied apartment buildings and three vehicles,NA,NA,suspect,unharmed,NA
1951983,2021-03-13,Virginia,Charlottesville,800 block of Hardy Dr,0,0,0,0,0,Shots Fired - No Injuries,"shots fired, stray bullet that entered house two blocks away in 800 block of Anderson St narrowly missed child asleep in their bed",NA,NA,suspect,unharmed,NA
1951985,2021-03-12,Virginia,Charlottesville,900 block of Nassau St,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1951984,2021-03-08,Virginia,Charlottesville,700 block of Prospect Ave,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1936882,2021-02-22,Virginia,Charlottesville,800 block of Shamrock Rd,0,1,0,0,0,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,one shot and robbed,NA,NA,victim,injured,NA
1895642,2021-01-05,Virginia,Charlottesville,700 block of Prospect Ave,0,0,0,0,0,Shots Fired - No Injuries,"shots fired, ambulance but unclear if victim",NA,NA,suspect,unharmed,NA
1895641,2021-01-05,Virginia,Charlottesville,700 block of 6th St SE,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1894545,2021-01-04,Virginia,Charlottesville,1904 Emmet St N,0,1,0,0,3,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,"between Angus Rd and Hydraulic Rd, man shot during fight in roadway among multiple people arrived at hospital, semi-automatic pistol",male,21,victim,injured,21
1894545,2021-01-04,Virginia,Charlottesville,1904 Emmet St N,0,1,0,0,3,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,"between Angus Rd and Hydraulic Rd, man shot during fight in roadway among multiple people arrived at hospital, semi-automatic pistol",male,21,suspect,unharmed,21
1894545,2021-01-04,Virginia,Charlottesville,1904 Emmet St N,0,1,0,0,3,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,"between Angus Rd and Hydraulic Rd, man shot during fight in roadway among multiple people arrived at hospital, semi-automatic pistol",male,20,suspect,unharmed,20
1894545,2021-01-04,Virginia,Charlottesville,1904 Emmet St N,0,1,0,0,3,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,"between Angus Rd and Hydraulic Rd, man shot during fight in roadway among multiple people arrived at hospital, semi-automatic pistol",male,19,suspect,unharmed,19
1887897,2020-12-27,Virginia,Charlottesville,900 block of S 1st St,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)",Louisa County,male,32,victim,killed,32
1880894,2020-12-17,Virginia,Charlottesville,700 block of Madison Ave,0,0,0,0,0,Non-Shooting Incident; Sex crime involving firearm,woman abducted at gunpoint while walking and raped behind unidentified apartment complex,male,NA,suspect,unharmed,NA
1871076,2020-12-06,Virginia,Charlottesville,500 block of Ridge St,0,1,0,0,0,Shot - Wounded/Injured,NA,NA,Adult 18+,victim,injured,NA
1864035,2020-11-28,Virginia,Charlottesville,732 McIntire Rd,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)",woman shot later died,female,31,victim,killed,31
1853444,2020-11-14,Virginia,Charlottesville,800 block of Orangedale Ave,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person",man shot dead,male,44,suspect,unharmed,44
1853444,2020-11-14,Virginia,Charlottesville,800 block of Orangedale Ave,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person",man shot dead,male,41,victim,killed,41
1845066,2020-11-05,Virginia,Charlottesville,900 block of 1st St S,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","man shot later died, 9mm pistol",male,22,suspect,unharmed,22
1845066,2020-11-05,Virginia,Charlottesville,900 block of 1st St S,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","man shot later died, 9mm pistol",male,27,victim,killed,27
1827940,2020-10-16,Virginia,Charlottesville,800 block of Mallside Forest Ct,1,0,0,0,2,"Shot - Dead (murder, accidental, or suicide); Armed robbery with injury/death and/or evidence of DGU found",Albemarle County near Glenwood Station Ln and Rio Rd E,male,19,victim,killed,19
1827940,2020-10-16,Virginia,Charlottesville,800 block of Mallside Forest Ct,1,0,0,0,2,"Shot - Dead (murder, accidental, or suicide); Armed robbery with injury/death and/or evidence of DGU found",Albemarle County near Glenwood Station Ln and Rio Rd E,male,20,suspect,unharmed,20
1827940,2020-10-16,Virginia,Charlottesville,800 block of Mallside Forest Ct,1,0,0,0,2,"Shot - Dead (murder, accidental, or suicide); Armed robbery with injury/death and/or evidence of DGU found",Albemarle County near Glenwood Station Ln and Rio Rd E,NA,15,suspect,unharmed,15
1722169,2020-06-29,Virginia,Charlottesville,824 Mallside Forest Ct,0,0,0,0,0,"Shots Fired - No Injuries; Drive-by (car to street, car to car)","Albemarle County, shots fired from vehicle",NA,NA,NA,unharmed,NA
1712935,2020-06-20,Virginia,Charlottesville,1100 block of W Main St,0,0,0,0,1,Shots Fired - No Injuries,"near Draftsman Hotel, on-duty UVA Ambassador fired shots, nearby unoccupied bus stop damaged",male,28,suspect,unharmed,28
1695405,2020-05-30,Virginia,Charlottesville,Lankford Ave and 1st St,0,0,0,1,1,Shot - Wounded/Injured; Officer Involved Shooting - subject/suspect/perpetrator shot; Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,"at least 2 shooters, 1 surrender, Massie shot by officers, near midnight 5/30-5/31",NA,NA,suspect,unharmed,NA
1695405,2020-05-30,Virginia,Charlottesville,Lankford Ave and 1st St,0,0,0,1,1,Shot - Wounded/Injured; Officer Involved Shooting - subject/suspect/perpetrator shot; Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,"at least 2 shooters, 1 surrender, Massie shot by officers, near midnight 5/30-5/31",male,32,victim,injured,32
1672153,2020-05-03,Virginia,Charlottesville,800 block of Mallside Forest Ct,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, one shot",male,Adult 18+,victim,injured,NA
1662655,2020-04-19,Virginia,Charlottesville,800 block of Cherry Ave,0,1,0,0,2,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,28,suspect,unharmed,28
1662655,2020-04-19,Virginia,Charlottesville,800 block of Cherry Ave,0,1,0,0,2,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,20,suspect,unharmed,20
1662655,2020-04-19,Virginia,Charlottesville,800 block of Cherry Ave,0,1,0,0,2,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,Adult 18+,victim,injured,NA
1654960,2020-04-07,Virginia,Charlottesville,Woodburn Rd,0,0,0,0,0,Shots Fired - No Injuries,"Albemarle County, shots fired",NA,NA,suspect,unharmed,NA
1651454,2020-04-02,Virginia,Charlottesville,1200 block of Emmet St N,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1595309,2020-01-12,Virginia,Charlottesville,700 block of Prospect Ave,0,1,0,0,0,Shot - Wounded/Injured,NA,male,Adult 18+,victim,injured,NA
1637407,2020-01-10,Virginia,Charlottesville,900 block of Rives St,0,0,0,0,1,Non-Shooting Incident; Possession of gun by felon or prohibited person,"carjacking, handgun",male,35,suspect,unharmed,35
1586675,2020-01-01,Virginia,Charlottesville,11 Elliewood Ave,0,1,0,0,0,Shot - Wounded/Injured; Bar/club incident - in or around establishment,woman shot inside bar walked to hospital,female,Adult 18+,victim,injured,NA
1577909,2019-12-21,Virginia,Charlottesville,400 block of Massie Rd,0,0,0,0,0,"Shots Fired - No Injuries; School Incident; Gun at school, no death/injury - university/college",shots fired on UVA property; susp not from UVA,male,Adult 18+,suspect,unharmed,NA
1573276,2019-12-14,Virginia,Charlottesville,300 block of Riverside Ave,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
1559774,2019-11-25,Virginia,Charlottesville,800 block of Hardy Dr,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
1543924,2019-11-07,Virginia,Charlottesville,2234 Commonwealth Dr,0,2,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County near Granite Park Apartments, two men shot",male,Adult 18+,victim,injured,NA
1543924,2019-11-07,Virginia,Charlottesville,2234 Commonwealth Dr,0,2,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County near Granite Park Apartments, two men shot",male,Adult 18+,victim,injured,NA
1543924,2019-11-07,Virginia,Charlottesville,2234 Commonwealth Dr,0,2,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County near Granite Park Apartments, two men shot",male,27,suspect,unharmed,27
1540068,2019-11-01,Virginia,Charlottesville,900 block of S 1st St,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
1531117,2019-10-19,Virginia,Charlottesville,700 block of Prospect Ave,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
1518693,2019-10-02,Virginia,Charlottesville,Lankford Ave and Ridge St,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,suspect,unharmed,NA
1456460,2019-07-18,Virginia,Charlottesville,1900 block of Inglewood Dr,0,0,0,0,2,Non-Shooting Incident; Drug involvement; Possession of gun by felon or prohibited person,"Albemarle County, drugs and two 9 mm handguns found during arrest",male,33,suspect,unharmed,33
1456460,2019-07-18,Virginia,Charlottesville,1900 block of Inglewood Dr,0,0,0,0,2,Non-Shooting Incident; Drug involvement; Possession of gun by felon or prohibited person,"Albemarle County, drugs and two 9 mm handguns found during arrest",male,32,suspect,unharmed,32
1440899,2019-07-05,Virginia,Charlottesville,422 E Main St,0,0,0,0,1,Shots Fired - No Injuries,shots fired hit restaurant,male,18,suspect,unharmed,18
1436626,2019-06-29,Virginia,Charlottesville,700 block of 6th St SE,0,1,0,0,0,Shot - Wounded/Injured,one shot,male,NA,victim,injured,NA
1427906,2019-06-18,Virginia,Charlottesville,500 block of Harris Rd,0,0,0,0,1,Non-Shooting Incident; Drug involvement; Possession of gun by felon or prohibited person,drugs and two semi-automatic handguns found inside vehicle,male,43,suspect,unharmed,43
1398792,2019-05-16,Virginia,Charlottesville,500 block of Peter Jefferson Pkwy,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person;","Albemarle Co, shot multiple times",male,49,suspect,unharmed,49
1398792,2019-05-16,Virginia,Charlottesville,500 block of Peter Jefferson Pkwy,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person;","Albemarle Co, shot multiple times",male,24,victim,killed,24
1397327,2019-05-13,Virginia,Charlottesville,300 block of Timberland Ln,0,0,0,0,1,Non-Shooting Incident; Drug involvement; Possession of gun by felon or prohibited person; Stolen/Illegally owned gun{s} recovered during arrest/warrant,"search warrants at apartment found revolver and 9-mm semi-automatic handgun, vehicle pursuit with police Mar 30 found handgun and sub-machine gun",male,28,suspect,unharmed,28
1397297,2019-05-10,Virginia,Charlottesville,500 block of Harris Rd,0,0,0,0,1,Shots Fired - No Injuries; Home Invasion - No death or injury - REQUIRES DGU; Possession of gun by felon or prohibited person,shots fired in home invasion,male,24,suspect,unharmed,24
1397304,2019-05-08,Virginia,Charlottesville,1907 Emmet St,0,0,0,0,1,Shots Fired - No Injuries,"shots fired into occupied vehicle in gas station parking lot, handgun",male,25,suspect,unharmed,25
1384762,2019-04-29,Virginia,Charlottesville,2200 block of Commonwealth Dr,0,1,0,0,3,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County, one shot",NA,17,suspect,unharmed,17
1384762,2019-04-29,Virginia,Charlottesville,2200 block of Commonwealth Dr,0,1,0,0,3,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County, one shot",NA,17,suspect,unharmed,17
1384762,2019-04-29,Virginia,Charlottesville,2200 block of Commonwealth Dr,0,1,0,0,3,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County, one shot",male,27,suspect,unharmed,27
1384762,2019-04-29,Virginia,Charlottesville,2200 block of Commonwealth Dr,0,1,0,0,3,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,"Albemarle County, one shot",N/A,NA,victim,injured,NA
1358648,2019-03-29,Virginia,Charlottesville,1900 Abbey Rd,0,2,0,0,1,Shot - Wounded/Injured; Domestic Violence,"Rivanna Ridge Shopping Center, woman and her fiancé shot by father of her child during visitation exchange in parking lot",male,Adult 18+,victim,injured,NA
1358648,2019-03-29,Virginia,Charlottesville,1900 Abbey Rd,0,2,0,0,1,Shot - Wounded/Injured; Domestic Violence,"Rivanna Ridge Shopping Center, woman and her fiancé shot by father of her child during visitation exchange in parking lot",male,32,suspect,unharmed,32
1358648,2019-03-29,Virginia,Charlottesville,1900 Abbey Rd,0,2,0,0,1,Shot - Wounded/Injured; Domestic Violence,"Rivanna Ridge Shopping Center, woman and her fiancé shot by father of her child during visitation exchange in parking lot",female,Adult 18+,victim,injured,NA
1358991,2019-03-29,Virginia,Charlottesville,NA,0,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Suicide; Officer Involved Shooting - subject/suspect/perpetrator killed; Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",man killed himself after 7-mi police chase; was susp after his wife found dead in her home earlier in week;,male,45,victim,killed,45
1341666,2019-03-02,Virginia,Charlottesville,300 block of E Jefferson St,0,1,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,29,suspect,unharmed,29
1341666,2019-03-02,Virginia,Charlottesville,300 block of E Jefferson St,0,1,0,0,1,Shot - Wounded/Injured; Possession of gun by felon or prohibited person,man shot,male,Adult 18+,victim,injured,NA
1336434,2019-02-26,Virginia,Charlottesville,1000 block of Carlton Ave,0,1,0,0,0,Shot - Wounded/Injured,man shot,NA,NA,suspect,unharmed,NA
1336434,2019-02-26,Virginia,Charlottesville,1000 block of Carlton Ave,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
1333477,2019-02-22,Virginia,Charlottesville,800 block of Hardy Dr,0,0,0,0,0,Shots Fired - No Injuries,shots fired,NA,NA,NA,unharmed,NA
1324454,2019-02-10,Virginia,Charlottesville,300 block of 6th St SW,0,1,0,0,0,Shot - Wounded/Injured,1 shot,male,NA,victim,injured,NA
1324454,2019-02-10,Virginia,Charlottesville,300 block of 6th St SW,0,1,0,0,0,Shot - Wounded/Injured,1 shot,male,NA,suspect,unharmed,NA
1337910,2019-01-01,Virginia,Charlottesville,700 block of Prospect Ave,0,0,0,0,1,Shots Fired - No Injuries,shots fired at person in occupied dwelling,male,28,suspect,unharmed,28
1287512,2018-12-28,Virginia,Charlottesville,100 Turtle Creek Rd,0,1,0,0,0,Shot - Wounded/Injured,man shot outside condominium complex,male,Adult 18+,victim,injured,NA
1244716,2018-10-30,Virginia,Charlottesville,400 block of Burgoyne Rd,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, man shot inside apartment, several cars in parking lot also hit",male,NA,suspect,unharmed,NA
1244716,2018-10-30,Virginia,Charlottesville,400 block of Burgoyne Rd,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, man shot inside apartment, several cars in parking lot also hit",male,19,victim,injured,19
1225799,2018-10-01,Virginia,Charlottesville,900 block of 5th St SW,0,0,0,0,1,Non-Shooting Incident; Possession of gun by felon or prohibited person,driver during fatal crash charged with possession of firearm by convicted felon,male,21,suspect,unharmed,21
1206657,2018-09-08,Virginia,Charlottesville,800 block of Hardy Drive,0,2,0,1,0,Shot - Wounded/Injured; Officer Involved Incident; Officer Involved Shooting - Officer shot; Officer Involved Shooting - subject/suspect/perpetrator shot; Possession of gun by felon or prohibited person,NA,male,27,victim,injured,27
1206657,2018-09-08,Virginia,Charlottesville,800 block of Hardy Drive,0,2,0,1,0,Shot - Wounded/Injured; Officer Involved Incident; Officer Involved Shooting - Officer shot; Officer Involved Shooting - subject/suspect/perpetrator shot; Possession of gun by felon or prohibited person,NA,NA,Adult 18+,victim,injured,NA
1206657,2018-09-08,Virginia,Charlottesville,800 block of Hardy Drive,0,2,0,1,0,Shot - Wounded/Injured; Officer Involved Incident; Officer Involved Shooting - Officer shot; Officer Involved Shooting - subject/suspect/perpetrator shot; Possession of gun by felon or prohibited person,NA,NA,Adult 18+,victim,injured,NA
1195568,2018-08-25,Virginia,Charlottesville,Minor Ct,0,1,0,0,1,Shot - Wounded/Injured,NA,male,24,suspect,unharmed,24
1195568,2018-08-25,Virginia,Charlottesville,Minor Ct,0,1,0,0,1,Shot - Wounded/Injured,NA,male,NA,victim,injured,NA
1190155,2018-08-18,Virginia,Charlottesville,1200 block of Lankford Ave,0,0,0,0,0,Shots Fired - No Injuries,shots fired after disorder between man and woman,NA,NA,suspect,unharmed,NA
1189295,2018-08-17,Virginia,Charlottesville,201 Elliott Ave,0,0,0,0,0,Shots Fired - No Injuries,"downtown near Oakwood Cemetery, shots fired",male,NA,suspect,unharmed,NA
1184615,2018-08-10,Virginia,Charlottesville,Concord Ave and Albemarle St,0,1,0,0,0,Shot - Wounded/Injured,"[also reported as Cynthianna Ave and Forest St] teen shot, pistol",male,Teen 12-17,victim,injured,NA
1175396,2018-07-29,Virginia,Charlottesville,800 block of Hardy Dr,0,0,0,0,0,Shots Fired - No Injuries,shots fired damaged vehicle,NA,NA,suspect,unharmed,NA
1167167,2018-07-19,Virginia,Charlottesville,112 Lankford Ave,0,0,0,0,1,"Shots Fired - No Injuries; Officer Involved Incident; Officer Involved Shooting - Shots fired, no injury; Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff; Domestic Violence; Possession of gun by felon or prohibited person","man fired shots into occupied home then barricaded himself inside nearby home of his longtime girlfriend, one injured from glass breaking or debris",male,29,suspect,unharmed,29
1147695,2018-06-22,Virginia,Charlottesville,1600 Emmet St N,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence",NA,female,21,victim,killed,21
1147695,2018-06-22,Virginia,Charlottesville,1600 Emmet St N,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence",NA,male,23,suspect,unharmed,23
1117137,2018-05-16,Virginia,Charlottesville,405 Premier Cir,0,0,0,0,0,Shots Fired - No Injuries,"Group of people in verbal dispute, shots fired by one participant, no inj",NA,NA,suspect,unharmed,NA
1085921,2018-04-04,Virginia,Charlottesville,1600 block of Rio Hill Dr,0,1,0,0,1,Shot - Wounded/Injured; Drug involvement; Possession of gun by felon or prohibited person,"Albemarle County near Fashion Square Mall and Rio Hill Apartments, man shot",male,23,suspect,unharmed,23
1085921,2018-04-04,Virginia,Charlottesville,1600 block of Rio Hill Dr,0,1,0,0,1,Shot - Wounded/Injured; Drug involvement; Possession of gun by felon or prohibited person,"Albemarle County near Fashion Square Mall and Rio Hill Apartments, man shot",male,Adult 18+,victim,injured,NA
1016643,2017-12-24,Virginia,Charlottesville,1700 block Monticello Rd,1,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Suicide^; Murder/Suicide; Domestic Violence",two shot to death inside home in murder-suicide,female,33,victim,killed,33
1016643,2017-12-24,Virginia,Charlottesville,1700 block Monticello Rd,1,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Suicide^; Murder/Suicide; Domestic Violence",two shot to death inside home in murder-suicide,male,37,suspect,killed,37
1004799,2017-12-08,Virginia,Charlottesville,Wertland St,0,0,0,0,0,Shots Fired - No Injuries,multiple shots fired,NA,NA,suspect,unharmed,NA
1003737,2017-12-05,Virginia,Charlottesville,800 block of Hardy Dr,0,1,0,0,0,Shot - Wounded/Injured,man shot,male,Adult 18+,victim,injured,NA
994617,2017-11-24,Virginia,Charlottesville,100 block of Garrett St,0,0,0,0,0,Shots Fired - No Injuries,shots fired hit vehicle and two buildings,NA,NA,suspect,unharmed,NA
990323,2017-11-14,Virginia,Charlottesville,180 McCormick Rd,0,0,0,0,1,"Non-Shooting Incident; School Incident; Gun at school, no death/injury - university/college; Workplace shooting (disgruntled current or former employee)","Five Guys in Pavilion XI, employee displayed weapon during verbal altercation in back office and when leaving",male,21,suspect,unharmed,21
977403,2017-10-31,Virginia,Charlottesville,1400 Melbourne Rd,0,0,0,0,1,"Non-Shooting Incident; School Incident; Gun at school, no death/injury - elementary/secondary school",loaded firearm in student’s backpack,male,17,suspect,unharmed,17
974373,2017-10-26,Virginia,Charlottesville,Avon St and Belmont Bridge,0,0,0,0,1,Non-Shooting Incident; Road rage,road rage,male,58,suspect,unharmed,58
958322,2017-10-13,Virginia,Charlottesville,300 block of Riverside Ave,0,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Officer Involved Incident; Officer Involved Shooting - subject/suspect/perpetrator killed; Sex crime involving firearm","near Rivanna River, police fatally shot man they were chasing after sexual assault, handgun",male,42,victim,killed,42
931794,2017-09-11,Virginia,Charlottesville,900 block of 1st St S,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)",[also reported as Circle Dr of First Street South neighborhood] man shot died,male,45,victim,killed,45
931794,2017-09-11,Virginia,Charlottesville,900 block of 1st St S,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)",[also reported as Circle Dr of First Street South neighborhood] man shot died,male,18,suspect,unharmed,18
925903,2017-09-02,Virginia,Charlottesville,4 Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,NA,male,18,suspect,unharmed,18
925903,2017-09-02,Virginia,Charlottesville,4 Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,NA,NA,NA,victim,injured,NA
925903,2017-09-02,Virginia,Charlottesville,4 Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; Armed robbery with injury/death and/or evidence of DGU found,NA,male,19,suspect,unharmed,19
929504,2017-09-01,Virginia,Charlottesville,400 block of Four Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,"near Rio West Shopping Center, one shot walked into West Park Market in search of help, Albemarle High School and Jack Jouett Middle School on lock-down",male,Adult 18+,victim,injured,NA
929504,2017-09-01,Virginia,Charlottesville,400 block of Four Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,"near Rio West Shopping Center, one shot walked into West Park Market in search of help, Albemarle High School and Jack Jouett Middle School on lock-down",male,18,suspect,arrested,18
929504,2017-09-01,Virginia,Charlottesville,400 block of Four Seasons Dr,0,1,0,0,2,Shot - Wounded/Injured; LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,"near Rio West Shopping Center, one shot walked into West Park Market in search of help, Albemarle High School and Jack Jouett Middle School on lock-down",male,19,suspect,arrested,19
914724,2017-08-15,Virginia,Charlottesville,101 E Market St,0,0,0,0,0,Non-Shooting Incident,man in Confederate uniform carrying semi-automatic rifle stood at attention while facing Robert E. Lee statue,male,Adult 18+,suspect,unharmed,NA
912832,2017-08-12,Virginia,Charlottesville,100 block of W Market St,0,0,0,0,2,Shots Fired - No Injuries; Hate crime;  Political Violence,"nationalist rally/protest, O'brien possession, Preston fire shots",male,52,suspect,unharmed,52
912832,2017-08-12,Virginia,Charlottesville,100 block of W Market St,0,0,0,0,2,Shots Fired - No Injuries; Hate crime;  Political Violence,"nationalist rally/protest, O'brien possession, Preston fire shots",male,44,suspect,unharmed,44
888728,2017-07-12,Virginia,Charlottesville,Emmet St S,0,0,0,0,1,"Shots Fired - No Injuries; School Incident; Gun at school, no death/injury - university/college","near Bavaro Hall, shots fired into air after argument",male,Adult 18+,suspect,unharmed,NA
889610,2017-07-10,Virginia,Charlottesville,700 block of 6th St SE,0,0,0,0,1,Shots Fired - No Injuries; Criminal act with stolen gun; Possession of gun by felon or prohibited person; Stolen/Illegally owned gun{s} recovered during arrest/warrant,"12:40 am, shots fired into occupied home, stolen firearm",male,Teen 12-17,suspect,unharmed,NA
889610,2017-07-10,Virginia,Charlottesville,700 block of 6th St SE,0,0,0,0,1,Shots Fired - No Injuries; Criminal act with stolen gun; Possession of gun by felon or prohibited person; Stolen/Illegally owned gun{s} recovered during arrest/warrant,"12:40 am, shots fired into occupied home, stolen firearm",male,25,suspect,unharmed,25
889610,2017-07-10,Virginia,Charlottesville,700 block of 6th St SE,0,0,0,0,1,Shots Fired - No Injuries; Criminal act with stolen gun; Possession of gun by felon or prohibited person; Stolen/Illegally owned gun{s} recovered during arrest/warrant,"12:40 am, shots fired into occupied home, stolen firearm",male,19,suspect,unharmed,19
886190,2017-07-08,Virginia,Charlottesville,400 block of Garrett St,0,1,0,0,0,Shot - Wounded/Injured,NA,male,Adult 18+,victim,injured,NA
886190,2017-07-08,Virginia,Charlottesville,400 block of Garrett St,0,1,0,0,0,Shot - Wounded/Injured,NA,male,Adult 18+,suspect,unharmed,NA
889584,2017-07-02,Virginia,Charlottesville,400 block of Garrett St,0,0,0,0,0,Shots Fired - No Injuries,"Friendship Court area, shots fired hit occupied apartment",male,19,suspect,unharmed,19
826675,2017-04-22,Virginia,Charlottesville,200 block of W Water St,0,0,0,0,1,Shots Fired - No Injuries; Possession of gun by felon or prohibited person,shot fired into the air outside area of bars and restaurants after fight between two people in front of parked car; felon in poss,male,22,suspect,unharmed,22
825790,2017-04-20,Virginia,Charlottesville,800 block of Hardy Dr,0,0,0,0,1,Shot - Wounded/Injured,NA,male,45,victim,injured,45
825790,2017-04-20,Virginia,Charlottesville,800 block of Hardy Dr,0,0,0,0,1,Shot - Wounded/Injured,NA,male,25,suspect,unharmed,25
818082,2017-04-11,Virginia,Charlottesville,900 block of S 1st St,0,1,0,0,0,Shot - Wounded/Injured,shot following fist fight,male,NA,suspect,unharmed,NA
