incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,characteristics,notes,participant_gender,participant_age_group,role,status,age
2659867,2023-07-21,Virginia,Charlottesville,2088 Berkmar Dr,2,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)","at Seminole Trail, two fatally shot in parking lot",male,27,victim,killed,27
2659867,2023-07-21,Virginia,Charlottesville,2088 Berkmar Dr,2,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)","at Seminole Trail, two fatally shot in parking lot",male,22,victim,killed,22
2659867,2023-07-21,Virginia,Charlottesville,2088 Berkmar Dr,2,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)","at Seminole Trail, two fatally shot in parking lot",male,22,suspect,unharmed,22
2635377,2023-06-25,Virginia,Charlottesville,200 block of South Street West,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide); Accidental Shooting; Accidental Shooting - Death; Self-Inflicted (not suicide or suicide attempt - NO PERP)","man fatally shot, self-inflicted but unclear if intentional",male,72,victim,killed,72
2633807,2023-06-23,Virginia,Charlottesville,2400 block of Berkshire Pl,0,1,0,0,1,Shot - Wounded/Injured; Domestic Violence,"Albemarle County, woman shot in domestic-related incident transported to hospital by third party",male,26,suspect,unharmed,26
2633807,2023-06-23,Virginia,Charlottesville,2400 block of Berkshire Pl,0,1,0,0,1,Shot - Wounded/Injured; Domestic Violence,"Albemarle County, woman shot in domestic-related incident transported to hospital by third party",female,22,victim,injured,22
2630953,2023-06-20,Virginia,Charlottesville,1600 block of Rio Hill Dr,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence","Albemarle County, woman shot dead in domestic-related incident",male,33,suspect,unharmed,33
2630953,2023-06-20,Virginia,Charlottesville,1600 block of Rio Hill Dr,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence","Albemarle County, woman shot dead in domestic-related incident",female,46,victim,killed,46
2610599,2023-05-27,Virginia,Charlottesville,766 Prospect Ave,0,1,0,0,0,Shot - Wounded/Injured,gsw stomach,male,16,victim,injured,16
2549076,2023-03-18,Virginia,Charlottesville,3 Elliewood Ave,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)","near UVA campus, man shot in parking lot behind sporting goods store, later died; second non-injury shooting in 8th St NW and Hardy Dr area around same time",male,21,suspect,unharmed,21
2549076,2023-03-18,Virginia,Charlottesville,3 Elliewood Ave,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide)","near UVA campus, man shot in parking lot behind sporting goods store, later died; second non-injury shooting in 8th St NW and Hardy Dr area around same time",male,26,victim,killed,26
2538763,2023-03-04,Virginia,Charlottesville,827 Cherry Ave,1,0,0,1,2,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Shootout (where VENN diagram of shooters and victims overlap); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite","two shot in gunfire exchange inside supermarket, one died; residents of Timberland Apartments asked to shelter-in-place; both guilty pleas, 3/2024;",male,20,victim,killed,20
2538763,2023-03-04,Virginia,Charlottesville,827 Cherry Ave,1,0,0,1,2,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Shootout (where VENN diagram of shooters and victims overlap); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite","two shot in gunfire exchange inside supermarket, one died; residents of Timberland Apartments asked to shelter-in-place; both guilty pleas, 3/2024;",male,17,victim,injured,17
2538763,2023-03-04,Virginia,Charlottesville,827 Cherry Ave,1,0,0,1,2,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Shootout (where VENN diagram of shooters and victims overlap); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite","two shot in gunfire exchange inside supermarket, one died; residents of Timberland Apartments asked to shelter-in-place; both guilty pleas, 3/2024;",male,19,suspect,unharmed,19
2535794,2023-02-28,Virginia,Charlottesville,US-250 BYP and Hydraulic Rd,0,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Officer Involved Incident; Officer Involved Shooting - subject/suspect/perpetrator killed; LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite","Albemarle County, officers shot wanted man pointing gun at them after he fled into woods by Emmet St and fired several shots then ran toward parking lot, later died; nearby schools and businesses told to shelter in place",male,44,victim,killed,44
2531689,2023-02-22,Virginia,Charlottesville,800 block of Hardy Dr,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","man shot found in car along Page St, later died; search warrant seized three semi-automatic firearms and one revolver; guilty plea, 4/1/24, sentencing 6/24;",male,20,victim,killed,20
2531689,2023-02-22,Virginia,Charlottesville,800 block of Hardy Dr,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","man shot found in car along Page St, later died; search warrant seized three semi-automatic firearms and one revolver; guilty plea, 4/1/24, sentencing 6/24;",male,19,suspect,injured,19
2531698,2023-02-21,Virginia,Charlottesville,325 Timberland Ln,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)","Albemarle County off Old Lynchburg Rd, man shot later died",male,34,victim,killed,34
2530283,2023-02-18,Virginia,Charlottesville,400 block of 10th St NW,0,1,0,0,0,Shot - Wounded/Injured,"near Dairy Market, one shot walked into hospital",N/A,NA,victim,injured,NA
2526329,2023-02-15,Virginia,Charlottesville,200 block of Wahoo Way,0,1,0,0,0,Shot - Wounded/Injured; Drug involvement,"Albemarle County, teen shot in drug deal gone bad",male,Teen 12-17,victim,injured,NA
2524849,2023-02-12,Virginia,Charlottesville,905 Twentyninth Pl Ct,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County near Seminole Trail and Rio Rd, woman shot in parking lot outside restaurant taken in personal vehicle to hospital",female,Adult 18+,victim,injured,NA
